"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
0.00036863469849085,0.00175557555274989,0.00831728662644636,0.0384593846379178,0.160187851649254,0.476314112976257,0.812609777224486,0.953855230622405,0.989950571396109,0.997873678006998,0.999552752832358,0.999906010934772,0.999980244012288,0.999995845976589,0.999999128024247,0.999999817911545,0.999999962306792,0.999999992292635,0.999999998448791,0.999999999693793,0.999999999940925,0.999999999988901,0.999999999997976,0.999999999999643,0.999999999999939,0.99999999999999,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000819070827373978,0.00283206701608081,0.00974407397353725,0.0329678661450944,0.105632052974771,0.290327681059852,0.586197510819072,0.830603087781234,0.944328455120964,0.983233103508291,0.99508771434103,0.998571698336051,0.999585309876294,0.999879554441615,0.999965006185994,0.999989839075737,0.9999970543955,0.999999148353178,0.999999754682098,0.999999929672822,0.999999979956172,0.999999994326633,0.9999999984069,0.999999999556638,0.999999999877754,0.999999999966606,0.999999999990963,0.999999999997577,0.999999999999357,0.999999999999831,0.999999999999956,0.999999999999989,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000236097971813166,0.00134419273380742,0.00761338021060738,0.0418960003376373,0.199629201746441,0.587730765600843,0.891021731494522,0.979217436031117,0.996353078468698,0.999373869879695,0.999893720451889,0.999982152036715,0.999997037608192,0.999999514645149,0.999999921569651,0.999999987505595,0.999999998038649,0.999999999696747,0.99999999995384,0.999999999993086,0.999999999998981,0.999999999999853,0.999999999999979,0.999999999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000473161695090031,0.00203878562699707,0.00873953781425148,0.0366513927280046,0.14077035890058,0.41219653078825,0.748202543992914,0.925455368531415,0.980746025082298,0.995131766173997,0.998750176828159,0.999670183028592,0.999909993215346,0.999974495606456,0.999992517586919,0.999997744661114,0.999999307011627,0.99999978463168,0.999999932829845,0.999999979140387,0.999999993600175,0.99999999807532,0.999999999437044,0.999999999840934,0.999999999956472,0.999999999988379,0.999999999996951,0.999999999999208,0.999999999999795,0.999999999999946,0.999999999999986,0.999999999999996,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000627074084345786,0.00241342711516142,0.00924152638713053,0.0347154710137634,0.12177359189793,0.348343192534716,0.673253794589322,0.888152545697913,0.96834891321957,0.991585250027899,0.997800771584368,0.999427627312734,0.999851141235342,0.999961274895886,0.999989912045163,0.999997364687413,0.999999308660381,0.999999817615532,0.999999951546312,0.999999987018839,0.999999996488012,0.999999999039162,0.999999999733798,0.999999999925237,0.999999999978756,0.999999999993914,0.999999999998249,0.999999999999496,0.999999999999855,0.999999999999958,0.999999999999988,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0010459489321235,0.00327854852006009,0.0102278856882527,0.0314416440692815,0.0924733683552011,0.241906337437674,0.498852656591347,0.755404407495544,0.904900507018619,0.966741539878205,0.98875204652275,0.996208730721724,0.998711601500719,0.99955647838002,0.999845343866084,0.99994551304976,0.999980660164939,0.999993104361139,0.999997537522403,0.999999121874627,0.999999688228655,0.999999890119719,0.999999961672058,0.999999986804518,0.999999995520127,0.999999998500063,0.999999999504679,0.999999999838658,0.999999999948157,0.999999999983565,0.99999999999486,0.999999999998413,0.999999999999517,0.999999999999855,0.999999999999957,0.999999999999987,0.999999999999996,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000778384836308923,0.00274696877034251,0.00964616210865697,0.0332952470502268,0.108614639123834,0.301520357657132,0.605194701476896,0.845225847337579,0.951306892402635,0.985965102222069,0.996080604957801,0.998921041229792,0.999705921225714,0.999920589447162,0.999978738776156,0.999994348267914,0.999998506455234,0.999999607130295,0.999999897004077,0.999999973054913,0.999999992956738,0.99999999815817,0.999999999517549,0.999999999873274,0.999999999966625,0.999999999991195,0.999999999997675,0.999999999999386,0.999999999999838,0.999999999999957,0.999999999999989,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000663621890469052,0.00249671268842524,0.00934590790180777,0.0343371251934821,0.118145467545041,0.335218491205637,0.654532126028452,0.876563813743038,0.963681079538657,0.989976363380289,0.997274925441708,0.999259255144298,0.999797746786203,0.999944435388497,0.999984636453734,0.999995726440744,0.99999880469505,0.999999664001414,0.999999905126893,0.999999973104946,0.999999992349287,0.999999997817229,0.999999999375737,0.999999999821146,0.99999999994876,0.999999999985357,0.999999999995836,0.999999999998824,0.999999999999671,0.999999999999909,0.999999999999975,0.999999999999993,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000249612009982683,0.00138978995588227,0.00769797180597841,0.0414497249009681,0.194176699125913,0.572957514606581,0.881799664982532,0.976416099052289,0.995655983828934,0.999210144733206,0.999856291772463,0.999973759718622,0.999995186801638,0.999999112651187,0.999999835791874,0.999999969574541,0.999999994369958,0.999999998962214,0.999999999809929,0.9999999999655,0.99999999999381,0.999999999998905,0.999999999999809,0.999999999999967,0.999999999999994,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000176422589429645,0.00112879950838067,0.00718541687036014,0.0442979322413785,0.228907351162807,0.65534688482454,0.924135581962295,0.98735078320204,0.998005271001485,0.999688387600349,0.999951410879351,0.999992429076058,0.999998821046736,0.999999816545024,0.999999971510053,0.999999995593737,0.999999999322756,0.999999999896773,0.99999999998443,0.999999999997681,0.99999999999966,0.999999999999951,0.999999999999993,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.00044837460894373,0.00197411343312365,0.00864675683457054,0.0370363506488914,0.14499542306667,0.427792018144488,0.76716777480294,0.935549652824177,0.984595559830743,0.996457172370307,0.99919208218479,0.999815991308435,0.999958070168816,0.999990435341828,0.999997812766581,0.999999497488419,0.999999883756252,0.999999972866141,0.999999993595024,0.999999998467739,0.999999999627692,0.999999999907918,0.999999999976768,0.999999999994009,0.999999999998421,0.999999999999575,0.999999999999883,0.999999999999968,0.999999999999991,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000820703314708792,0.00283544558988869,0.00974792037864187,0.0329550898905038,0.105513353607716,0.289858756864775,0.585331307355589,0.82986386549708,0.943937566821359,0.983064496037985,0.995020522314092,0.998545869672593,0.999575593369713,0.999875950599204,0.999963657416995,0.99998932187533,0.999996851989978,0.999999068399973,0.999999723139148,0.999999917335787,0.999999975192536,0.999999992514155,0.999999997727637,0.999999999305916,0.999999999786899,0.999999999934348,0.99999999997974,0.999999999993748,0.999999999998074,0.999999999999409,0.999999999999819,0.999999999999945,0.999999999999984,0.999999999999995,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000535708490528008,0.00219619416516041,0.00895740535497677,0.0357859009479938,0.132142226177034,0.383870622474132,0.717377827660016,0.911334451385684,0.976356677474918,0.993951487395235,0.998455767841667,0.999601906929544,0.999895932289737,0.999972349863724,0.999992529592758,0.999997948786876,0.999999427957601,0.999999838071035,0.9999999535028,0.999999986464889,0.999999996008315,0.999999998808108,0.999999999639894,0.999999999889971,0.999999999965991,0.999999999989358,0.999999999996626,0.999999999998916,0.999999999999646,0.999999999999883,0.99999999999996,0.999999999999986,0.999999999999995,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000499219997567149,0.00210532349251376,0.00883296026520814,0.0362769858679798,0.137148405274587,0.401386391489696,0.73850363515035,0.92229010591201,0.980289318060766,0.995207976976965,0.99884347400401,0.999720320369796,0.999932044472371,0.99998339127711,0.999995914670171,0.999998988364206,0.999999747743091,0.99999993664264,0.999999983967585,0.999999995911526,0.999999998949015,0.999999999727593,0.999999999928791,0.999999999981222,0.999999999995004,0.999999999998659,0.999999999999637,0.999999999999901,0.999999999999973,0.999999999999992,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000411618293991875,0.00187550240351608,0.00850128367006115,0.0376524435356944,0.151560664705671,0.449600517533453,0.789256067727844,0.945154319464224,0.987603781196505,0.997307756718523,0.999423667926284,0.999877787626433,0.999974322256523,0.999994657383729,0.999998897095216,0.999999773241221,0.99999995338758,0.999999990383453,0.999999998001128,0.999999999579789,0.999999999910312,0.99999999998049,0.999999999995658,0.999999999999008,0.999999999999768,0.999999999999944,0.999999999999986,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000463177039618245,0.00201290227294742,0.00870264464500615,0.0368049839484466,0.142569193179751,0.419618696947395,0.758451683207892,0.931568852808021,0.983302670182312,0.996079460373261,0.999085611696484,0.99978644572748,0.999949943297209,0.999988214164422,0.999997213214393,0.999999338814579,0.999999842732746,0.999999962531551,0.999999991066489,0.999999997870272,0.99999999949279,0.999999999879432,0.99999999997142,0.999999999993249,0.99999999999841,0.999999999999626,0.999999999999912,0.999999999999979,0.999999999999995,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000764816260877725,0.00271819345570596,0.0096125950173745,0.0334099553899427,0.109741749786953,0.306251429050795,0.614169993197828,0.852847621300625,0.955287906780271,0.987649169153565,0.996728984442093,0.999157127087029,0.999788226665939,0.99994818624884,0.999987661860961,0.999997139225293,0.999999353857744,0.999999857781277,0.999999969483033,0.999999993613642,0.999999998696042,0.999999999740137,0.999999999949433,0.999999999990387,0.999999999998212,0.999999999999674,0.999999999999942,0.99999999999999,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000694789277509305,0.00256629066289234,0.00943133636525917,0.0340325134306388,0.115192376814417,0.323946231710505,0.63662620704661,0.863882711480632,0.957838143832786,0.987676274597684,0.99641450619479,0.998942540430692,0.999681592630946,0.999901750126454,0.999968921642478,0.999989939585068,0.999996673325464,0.999998878403811,0.999999615154136,0.99999986586176,0.99999995259491,0.999999983045112,0.999999993874331,0.99999999776833,0.999999999180992,0.999999999697403,0.999999999887515,0.999999999957955,0.999999999984207,0.999999999994042,0.999999999997744,0.999999999999143,0.999999999999674,0.999999999999876,0.999999999999952,0.999999999999982,0.999999999999993,0.999999999999997,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
